uuid,author_sort,title_sort,authors,title,formats,size,languages,isbn,tags
"4fa51c00-4539-4747-b640-c39e759e0ef6","Thomas, Dave & Chad Fowler, Andy Hunt","Programming Ruby 1.9 & 2.0","Dave Thomas & Chad Fowler, Andy Hunt","Programming Ruby 1.9 & 2.0","pdf","18865598","","",""
"614e5873-d6da-4603-ad7c-9e8a23e3e9d7","Riley, Mike","Programming Your Home: Automate With Arduino, Android, and Your Computer (Pragmatic Programmers)","Mike Riley","Programming Your Home: Automate With Arduino, Android, and Your Computer (Pragmatic Programmers)","pdf","9553410","eng","9781934356906",""
"1cabdbc3-2dc7-4e1d-bfd8-dba8c03908b7","Sanderson, Dan","Programming Google App Engine","Dan Sanderson","Programming Google App Engine","pdf","13121271","","",""
"3e2cfdb0-b54e-481e-a8f8-50af175052df","Bates, Mark","Programming in CoffeeScript","Mark Bates","Programming in CoffeeScript","pdf","4065145","","",""
"b5146ff1-5c36-49fc-b9a7-3a5ba2b86281","James, Derek","Android Game Programming For Dummies","Derek James","Android Game Programming For Dummies","pdf","37227975","","","android"
"de91c1fd-85ce-492c-840a-e43463d73845","Devolder, Ike","Arch Linux Environment Set-Up How-To","Ike Devolder","Arch Linux Environment Set-Up How-To","pdf","4059233","eng","9781849519724","Linux"
"97fc6fc5-88c8-41b9-b495-f6a2c984923b","Briggs, Jason R","Python For Kids","Jason R Briggs","Python For Kids","pdf","14246405","","",""
"a63d252c-d6d3-485c-ac42-5e097f2e875d","Lazar, Jon","Arduino and LEGO Projects","Jon Lazar","Arduino and LEGO Projects","pdf","14729119","","","arduino"
"5a53618a-92d7-4d86-9230-134b63b8e650","Kelly, James Floyd & Timmis, Harold","Arduino Adventures: Escape From Gemini Station","James Floyd Kelly & Harold Timmis","Arduino Adventures: Escape From Gemini Station","pdf","16761237","","","arduino"
"da658cca-ed76-4261-a537-91ca3b1580a5","Dennis, Andrew K.","Raspberry Pi Home Automation With Arduino","Andrew K. Dennis","Raspberry Pi Home Automation With Arduino","pdf","6175378","eng","9781849695862",""
"1f36c4f3-58ed-42df-b40d-a70ba1d156a9","Melgar, Enrique Ramos","Arduino and Kinect Projects: Design, Build, Blow Their Minds (Technology in Action)","Enrique Ramos Melgar","Arduino and Kinect Projects: Design, Build, Blow Their Minds (Technology in Action)","pdf","82901890","eng","9781430241676","arduino"
"374fd523-c020-47a4-88eb-6100f9575184","Jay Fields, Shane Harvie, Martin Fowler, Kent Beck","Refactoring: Ruby Edition","Jay Fields, Shane Harvie, Martin Fowler, Kent Beck","Refactoring: Ruby Edition","pdf","4762085","","",""
"c638d83c-745c-4dd1-ba50-581f1ca24de8","Brown, Gregory","Ruby Best Practices","Gregory Brown","Ruby Best Practices","pdf","2088507","","",""
"fd28148a-da80-41f0-8e72-bfb5deb226ce","Margolis, Michael","Arduino Cookbook, 2nd Edition","Michael Margolis","Arduino Cookbook, 2nd Edition","pdf","11818821","eng","9781449313876","arduino"
"fa82e561-2fd5-4f27-9ee5-d1cc2d1f722a","Tate, Bruce A.","Seven Languages in Seven Weeks","Bruce A. Tate","Seven Languages in Seven Weeks","pdf","5011958","","",""
"2b482a83-ad93-4ef2-a414-882ad3522e4c","John-David Warren, Josh Adams, Harald Molle","Arduino Robotics","John-David Warren, Josh Adams, Harald Molle","Arduino Robotics","pdf","21649865","","","arduino"
"7da8f29e-4e5b-4d40-92d8-f7a19e77d53d","Harris, Alan & Haase, Konstantin","Sinatra: Up and Running","Alan Harris & Konstantin Haase","Sinatra: Up and Running","pdf","6984583","","",""
"ffe07259-303e-411f-a881-a22e98fb436f","Olsson, Tony","Arduino Wearables (Technology in Action)","Tony Olsson","Arduino Wearables (Technology in Action)","pdf","9521611","eng","9781430243595","arduino"
"0c0ca387-99b3-4fc6-a5cb-8a95df364b10","Zechner, Mario","Beginning Android Games","Mario Zechner","Beginning Android Games","pdf","15520693","","","arduino"
"780aed7d-2bc8-4ef9-bea2-3c58178fdac8","Kerfs, Jeremy","Beginning Android Tablet Games Programming","Jeremy Kerfs","Beginning Android Tablet Games Programming","pdf","4981690","","","android"
"7422935d-fa32-4612-8b1f-6f3af63d4ae9","Evans, Brian","Beginning Arduino Programming (Technology in Action)","Brian Evans","Beginning Arduino Programming (Technology in Action)","pdf","36790044","eng","9781430237778","arduino"
"993c8809-5e98-43db-9598-09f0688d06f4","Project, The Lead","Super Scratch Programming Adventure! (Covers Version 2): Learn to Program by Making Cool Games","The Lead Project","Super Scratch Programming Adventure! (Covers Version 2): Learn to Program by Making Cool Games","pdf","77946325","eng","9781593275310",""
"a89fbbd8-d88c-412d-90bb-4cb4fed1c71f","Flavell, Lance","Beginning Blender","Lance Flavell","Beginning Blender","pdf","17335020","eng","9781430262237","3D design"
"3b6fbfb4-7fa0-43e6-9473-ee4101bd997c","Riley","Art of Assembly Language, The","Riley","The Art of Assembly Language","pdf","23105929","","","Programming"
"8002f514-8abd-4fb3-8975-af26229f686f","kathleen","Book of CSS3, The","kathleen","The Book of CSS3","pdf","16404335","","","CSS"
"a5235278-05c1-4977-a77e-b3f5ca6648e4","Purdum, Ph.D. Jack","Beginning C for Arduino","Ph.D. Jack Purdum","Beginning C for Arduino","pdf","28936162","","","arduino"
"9acdc58d-f534-4c1a-8400-9b5c9b96fede","Copeland, David Bryant","Build Awesome Command-Line Applications in Ruby","David Bryant Copeland","Build Awesome Command-Line Applications in Ruby","pdf","5349524","","","Ruby"
"856aa5e9-3671-4439-86ba-7883ec5a5ab6","Bayle, Julien","C Programming for Arduino","Julien Bayle","C Programming for Arduino","pdf","11058088","eng","9781849517584","arduino"
"72c4b1cd-7c8d-49a0-9618-95b3d8ed510c","Matt Wynne, Aslak Hellesøy","Cucumber Book, The","Matt Wynne, Aslak Hellesøy","The Cucumber Book","pdf","7075825","","",""
"28e2cd40-89c7-4631-8fe6-7bd626a68337","Erasmus, Michael","CoffeeScript Programming With jQuery, Rails, and Node.js","Michael Erasmus","CoffeeScript Programming With jQuery, Rails, and Node.js","pdf","4316412","eng","9781849519588","JavaScript"
"a87b2427-64a5-43d2-ac4e-50c894fc2a77","Cheung, Ka Wai","Developer's Code, The","Ka Wai Cheung","The Developer's Code","pdf","11223237","","",""
"78bb4192-737e-424c-9753-ecd45a5265c0","Burnham, Trevor","CoffeeScript","Trevor Burnham","CoffeeScript","pdf","2777086","","","JavaScript"
"0555a2ef-fa53-4d4d-9b69-a581a437acb0","Cannon, Jason","Linux for Beginners: An Introduction to the Linux Operating System and Command Line","Jason Cannon","Linux for Beginners: An Introduction to the Linux Operating System and Command Line","pdf","6991109","eng","9781496145093",""
"455c6be2-c0a7-4169-868c-f491d7695618","Ian Dees, Matt Wynne, Aslak Hellesøy","Cucumber Recipes","Ian Dees, Matt Wynne, Aslak Hellesøy","Cucumber Recipes","pdf","6264041","","",""
"ab3b9712-96e4-427a-9a80-04a4a6947300","Fowler, Chad","Passionate Programmer, The","Chad Fowler","The Passionate Programmer","pdf","1275667","","",""
"b37e0d3d-5594-42f7-9a37-ccb38a6d5a9c","Sylvester, Tynan","Designing Games","Tynan Sylvester","Designing Games","pdf","5344599","","",""
"13a0cef6-cc09-47ac-b1c4-df9fb3fc36a9","Martin, Robert","Excel Programming With VBA Starter","Robert Martin","Excel Programming With VBA Starter","pdf","1448723","eng","9781849688444",""
"c8dae303-905f-4b8c-90ce-11f6d2b04adc","Chelimsky, David","RSpec Book, The","David Chelimsky","The RSpec Book","pdf","7085867","","",""
"683260a8-f667-45fc-9a16-16f59e077fb7","Spraul, V. Anton","Think Like A Programmer","V. Anton Spraul","Think Like A Programmer","pdf","9677822","","",""
"0cfabdd8-2785-4785-a7f5-3b3cef8258b1","Chang, Sau Sheong","Exploring Everyday Things with R and Ruby","Sau Sheong Chang","Exploring Everyday Things with R and Ruby","pdf","14711166","","",""
"24ec79b2-c76c-42f8-acfa-cd68b18e28fa","Fencott, Clive & Clay, Jo & Lockyer, Mike & Massey, Paul","Game Invaders: The Theory and Understanding of Computer Games","Clive Fencott & Jo Clay & Mike Lockyer & Paul Massey","Game Invaders: The Theory and Understanding of Computer Games","pdf","3650683","eng","9781118347577","Computers, Programming, Games, General"
"8a72675b-0e8c-4d7c-b735-ddf17a247bec","Trobaugh, James J.","Winning LEGO MINDSTORMS Programming","James J. Trobaugh","Winning LEGO MINDSTORMS Programming","pdf","14294206","","",""
"7cdb9563-8abf-40b6-8650-bdc8c9ca62fc","Richardson, Matt","Getting Started With BeagleBone","Matt Richardson","Getting Started With BeagleBone","pdf","42779330","","",""
"05c6c0ac-b463-498d-b03b-79b564261f89","Hyde, Randall","Write Great Code - Understanding The Machine","Randall Hyde","Write Great Code - Understanding The Machine","pdf","5872999","","",""
"201f87c3-1dd1-4e51-8761-e9d61d126183","Hyde, Randall","Write Great Code - Volume 2 : Thinking Low Level, Writing High Level","Randall Hyde","Write Great Code - Volume 2 : Thinking Low Level, Writing High Level","pdf","5258718","","",""
"78555601-8c88-4af4-95ed-f16c0b2a802e","Richardson, Matt & Wallace, Shawn","Getting Started with Raspberry Pi","Matt Richardson & Shawn Wallace","Getting Started with Raspberry Pi","pdf","14922588","","",""
"b06b1d90-b510-4671-99a0-52d876291522","Igoe, Tom","Getting Started with RFID","Tom Igoe","Getting Started with RFID","pdf","2713633","","",""
"4a03d77a-176e-431c-8782-aea7547a9c34","Amreen, Fazreil","Instant GIMP Starter","Fazreil Amreen","Instant GIMP Starter","pdf","6408019","eng","9781782160342",""
"22394dc0-9add-447f-888b-00a7a3c63d84","Chu-Carroll, Mark C.","Good Math","Mark C. Chu-Carroll","Good Math","pdf","8976222","","",""
"1693d8c1-7e03-4240-9ba7-1a06859eb8eb","McInnis, Brandon","HTML5 Game Programming with enchant.js","Brandon McInnis","HTML5 Game Programming with enchant.js","pdf","7197269","","",""
"db919251-8b99-4602-906f-76b2d36a3a6b","Mueller, John Paul","HTML5 Programming With JavaScript for Dummies","John Paul Mueller","HTML5 Programming With JavaScript for Dummies","pdf","45195777","eng","9781118431665",""
"9a75cdd1-ea7d-4f54-960b-2894a9469c3f","Freeman, Jesse","Introducing HTML5 Game Development","Jesse Freeman","Introducing HTML5 Game Development","pdf","6893721","","",""
"d03b7ceb-dca4-4f2d-a2e9-64cc5c1480b8","Arsever, Selim","jQuery Game Development Essentials","Selim Arsever","jQuery Game Development Essentials","pdf","3400968","eng","9781849695060",""
"8e4e7307-7a04-4d11-a8b8-b16efe53aaab","Davison, Andrew","Killer Game Programming in Java","Andrew Davison","Killer Game Programming in Java","pdf","10579489","eng","0596007302","Computers, Programming, java"
"a05dc76c-0620-415f-8a32-d1434a176782","Silveira, Rodrigo","Learn HTML5 by Creating Fun Games","Rodrigo Silveira","Learn HTML5 by Creating Fun Games","pdf","6875710","eng","","Computers, Programming"
"3f75b3ea-de29-4db6-aefb-352d1e0c9fde","Chu, Philip","Learn Unity 4 for iOS Game Development","Philip Chu","Learn Unity 4 for iOS Game Development","pdf","36087870","","",""
"72bdf665-db3c-4782-805c-cd1626f8df65","Wilcher, Donald","Learn Electronics With Arduino","Donald Wilcher","Learn Electronics With Arduino","pdf","20655556","","",""
"ace25460-4c7d-4dcd-bf89-082d7c4ebf00","Cross, Jamie","Learn Mobile Game Development in One Day Using Gamesalad: Create Games for iOS, Android and Windows Phones and Tablets","Jamie Cross","Learn Mobile Game Development in One Day Using Gamesalad: Create Games for iOS, Android and Windows Phones and Tablets","pdf","15042333","eng","9781511914208",""
"2c1281e3-d373-478a-8eb5-ceecac720e58","Membrey, Peter","Learn Raspberry Pi with Linux","Peter Membrey","Learn Raspberry Pi with Linux","pdf","9608044","","",""
"3c3d7f56-9063-4582-9f51-faa6a54b0faa","Chaffer, Jonathan","Learning jQuery - Fourth Edition","Jonathan Chaffer","Learning jQuery - Fourth Edition","pdf","6801607","eng","9781782163145",""
"fba21f16-43f4-4266-a03e-f2f54d49007a","Rogers, Richard A.","Learning Android Game Programming: A Hands-On Guide to Building Your First Android Game","Richard A. Rogers","Learning Android Game Programming: A Hands-On Guide to Building Your First Android Game","pdf","11507355","eng","9780321769626",""
"92377f7d-dbf5-4abe-8291-f5ff1417ea45","Avila, Chris Adamson; Kevin","Learning Core Audio: A Hands-On Guide to Audio Programming for Mac and iOS","Chris Adamson; Kevin Avila","Learning Core Audio: A Hands-On Guide to Audio Programming for Mac and iOS","pdf","13057741","","",""
"b13a9175-c79c-4608-8e3c-b764019514dc","Williams, James L.","Learning HTML5 Game Programming: Build Online Games with Canvas, SVG, and WebGL","James L. Williams","Learning HTML5 Game Programming: Build Online Games with Canvas, SVG, and WebGL","pdf","8247761","","",""
"68e38423-1543-4330-ada0-80714b1985d2","Robbins, Arnold & Hannah, Elbert","Learning the Vi and Vim Editors","Arnold Robbins & Elbert Hannah","Learning the Vi and Vim Editors","pdf","7633568","eng","","design, Computers, vim"
"4a5f6a2a-2b88-4c81-bcbe-1135476e13cd","Montoro, Arturo Fernandez","Linux Mint System Administrator's Beginner's Guide","Arturo Fernandez Montoro","Linux Mint System Administrator's Beginner's Guide","pdf","5857250","eng","","Computers, Linux"
"bbf321e6-1063-49b7-939e-2cf75298611f","Love, Robert","Linux System Programming","Robert Love","Linux System Programming","pdf","10042415","","",""
"fd4d5a41-db67-4842-8e4b-dc7b91552107","Borenstein, Greg","Making Things See","Greg Borenstein","Making Things See","pdf","21230684","","",""
"3d028fca-312c-4b1f-bbba-0fdca6b4da84","Jennifer Campbell, Paul Gries, Jason Montojo, Greg Wilson","Practical Programming","Jennifer Campbell, Paul Gries, Jason Montojo, Greg Wilson","Practical Programming","pdf","8128424","","",""
"bb5b23b1-2af9-458d-a408-88b2738ae682","Eagleman, David","Incognito","David Eagleman","Incognito","epub","3739396","eng","978-0-307-37978-8",""
"b6d684fa-cafa-4065-97e5-33b0e554eead","Kidd, Sue Monk","Invention of Wings, The","Sue Monk Kidd","The Invention of Wings","epub","893413","eng","",""
"cad32830-3c1b-4847-8727-d46eeacf4362","SEMPLE, MARIA","Where'd You Go, Bernadette","Maria Semple","Where'd You Go, Bernadette","epub, mobi","845543","eng","9780316204286",""
"20be0cd0-da72-42a0-b998-58d183e12025","Roth, Veronica","Divergent","Veronica Roth","Divergent","epub","1000133","eng","",""
"57abc679-882d-47d1-9a80-0aab12239d19","Michaelson, Jay","Evolving Dharma","Jay Michaelson","Evolving Dharma","epub","2412991","eng","978-1-58394-715-9","buddhism"
"60f25a57-20d4-4e64-817c-60f5181d71fb","King, Stephen","Insomnia","Stephen King","Insomnia","epub, mobi","1719738","eng","",""
"d1b2977a-b4a1-4155-9043-4f81eea84357","swaroopch","Byte of Vim, A","swaroopch","A Byte of Vim","pdf","1473738","","","vim"
"929adb95-cc5e-4ac8-98e1-224e65c9c1fb","Gough, Julian","iHole, The","Julian Gough","The iHole","epub","22470","eng","",""
"21d4bfab-aba3-4cdb-be1f-79c6697a73fc","Glass, Julia","And the Dark Sacred Night: A Novel","Julia Glass","And the Dark Sacred Night: A Novel","epub, mobi","2020118","eng","9780307908636","Fiction"
"927c9bf2-b2e4-429e-9daa-1a6e9eadc306","Tropper, Jonathan","One Last Thing Before I Go","Jonathan Tropper","One Last Thing Before I Go","epub, mobi","497110","eng","9780525952367",""
"240a125e-990f-487c-bfed-0f57ac1561a8","Hanagarne, Josh","World's Strongest Librarian, The","Josh Hanagarne","The World's Strongest Librarian","epub, mobi","1074960","eng","9781101621776",""
"82496574-2253-4905-8cbc-f3ebbfcdd70a","Miéville, China","Kraken","China Mieville","Kraken","epub, mobi","2248977","eng","978-0-345-52185-9",""
"6a4503d8-7a3c-4cde-9cea-27e105326d38","Kress, Nancy","Future Perfect","Nancy Kress","Future Perfect","epub","281753","eng","",""
"a915d006-8f53-4fc4-abef-6cd2dc073ee1","Raymond, Eric S.","Art of UNIX Programming (The Addison-Wesley Professional Computng Series), The","Eric S. Raymond","The Art of UNIX Programming (The Addison-Wesley Professional Computng Series)","pdf","2248426","eng","9780131429017","UNIX"
"0aa121cb-b474-4dcc-b26f-6ec94b82a1a2","King, Stephen","Shining, The","Stephen King","The Shining","epub","2302396","eng","978-0-385-52886-3",""
"19ad0ed7-d00c-4d47-81d6-a529e57e2e8d","Hunt, S. A.","Outlaw King: Vol 1 & 2, The","S. A. Hunt","The Outlaw King: Vol 1 & 2","epub","2376092","eng","",""
"113f2833-43da-4118-a3a8-c19c495188e8","Boylan, Jennifer Finney","She's Not There","Jennifer Finney Boylan","She's Not There","epub","2930267","eng","978-0-385-34698-6",""
"930f59a4-8e8e-4a4a-ab81-43d6d618c924","Portes, Andrea","Anatomy of a Misfit","Andrea Portes","Anatomy of a Misfit","epub","446045","eng","",""
"6e1b08b4-7c7a-4deb-b2db-7f5658ab1ab8","Morgenstern, Erin","Night Circus, The","Erin Morgenstern","The Night Circus","epub, mobi","2763828","eng","978-0-385-53464-2",""
"10d56fba-b878-4180-bf34-d4b144060e68","King, Stephen","Doctor Sleep","Stephen King","Doctor Sleep","epub, mobi","4103565","eng","",""
"595e5576-d714-4450-a682-5e55d9b393e8","Green, John","Paper Towns","John Green","Paper Towns","epub","449131","eng","",""
"d18fa0be-5dfd-455b-997b-74b45958e106","Gleason, Colleen","Clockwork Scarab, The","Colleen Gleason","The Clockwork Scarab","epub","956516","eng","","Fiction"
"58c138d3-2fb6-4e49-b002-5321a1d7824f","Camp, L. Sprague de","Elephant for Aristotle, An","L. Sprague de Camp","An Elephant for Aristotle","epub","548871","eng","",""
"65731bb7-e2a6-4f4d-b7c9-369e77f76ef2","WALTON, LESLYE","Strange and Beautiful Sorrows of Ava Lavender, The","Leslye Walton","The Strange and Beautiful Sorrows of Ava Lavender","epub","1649470","eng","978-0-7636-7034-4",""
"a492c768-9e4d-4ddb-803d-90e5b05824a8","Weir, Andy","Martian, The","Andy Weir","The Martian","epub, mobi","5912650","eng","",""
"c8adef40-c1eb-42f9-a681-63d2ffab2bc8","Smith, Andrew","Grasshopper Jungle","Andrew Smith","Grasshopper Jungle","epub","699815","eng","",""
"2ac1b6e9-38a8-41e2-b5ea-9ffcf6c53230","Martin, George R. R.","Clash of Kings, A","George R.R. Martin","A Clash of Kings","epub","4304918","eng","9780553897852","Fiction, Fantasy"
"71412661-3424-4aa9-aeb8-96cee2622f26","Martin, George R. R.","Feast for Crows, A","George R.R. Martin","A Feast for Crows","epub","4101157","eng","978-0-553-90032-3",""
"4fc12eed-2719-44fd-a2a7-6edbfa55329e","Martin, George R. R.","Game of Thrones, A","George R.R. Martin","A Game of Thrones","epub","4375659","eng","978-0-553-89784-5",""
"d6fbfc8c-a61b-4336-804b-62ae9d29847a","Offerman, Nick","Paddle Your Own Canoe","Nick Offerman","Paddle Your Own Canoe","epub","6796154","eng","",""
"ece0a96d-6565-4fc8-8cf2-35082ecf1dee","jan Maraskuu","Toki Pona","jan Maraskuu","Toki Pona","epub","61750","","","toki pona"
"4f7d794b-6a73-4c36-baa2-c3378e650e7a","Martin, George R. R.","Storm of Swords, A","George R.R. Martin","A Storm of Swords","epub","4355289","eng","978-0-553-89787-6",""
